epoch,train_loss,val_loss,val_dice_background,val_dice_liver,val_dice_tumor,val_iou_background,val_iou_liver,val_iou_tumor
1,0.5148141094229438,0.6917658764280062,0.9907324369862783,0.6506978844008562,0.638834467060653,0.9820230590353767,0.5732065648102453,0.6003820038897242
2,0.3174072075177004,0.7341833704209263,0.9904626299151413,0.6372656144844344,0.4424665365630117,0.9815457857770028,0.5312585321368304,0.4024140817247907
3,0.26422576766441214,0.6670326987902323,0.9913424892391233,0.7227108018832072,0.6204952646052498,0.9833250697568167,0.6582889942563687,0.5800069920215079
4,0.23796212627766605,0.666528951400233,0.9914632130869858,0.7210171812306241,0.6581912473646522,0.9835301474701587,0.6557055745160082,0.6226170656390261
5,0.22187770999529782,0.6798761859065041,0.9917568491517211,0.6909309644478715,0.5089607664580151,0.9841126606618757,0.6148006283200753,0.4688357425125191
6,0.1980451507603421,0.7236931738599314,0.9918004724619199,0.6603669403041947,0.4282335382103093,0.9842108200779922,0.5737638147714149,0.3885443500739721
7,0.199232636607267,0.6836379999067725,0.9916511135135623,0.7459204576315558,0.6485031962410224,0.9839197324334289,0.6905795859342775,0.6205099744134742
8,0.18414805742667958,0.6564903113900161,0.9915129988313579,0.7249059865020234,0.5708809518276177,0.9836794339495597,0.6623434714436328,0.5288531870816499
9,0.16588451269077745,0.6865310678098691,0.9914051971847205,0.6812300992629895,0.6129016049036682,0.9834126684305479,0.6178122949628477,0.5764734534239806
10,0.15904568052068752,0.6724266438410965,0.9917589348854778,0.7346559594892976,0.6162924522663784,0.9841143338800334,0.6744852438106137,0.5795538500965556
11,0.1442576492215223,0.6885123081646638,0.9915218070256624,0.7109895201811942,0.7155526025683207,0.9836358187867583,0.655015165524544,0.6781850864012071
12,0.14229322391397814,0.7024312720389224,0.9915209704165836,0.673192295397118,0.6286178533082072,0.9836086455008967,0.5984865512201286,0.587624896733593
13,0.13956180963924225,0.6700990340035566,0.9916665721282685,0.7286039081657558,0.627409021878992,0.9839469931966109,0.6729798953505325,0.5886487531130682
14,0.14071558505535764,0.6936246611130809,0.9915904852983762,0.6895496061539168,0.5957711260302482,0.9837823763168115,0.6344443378318514,0.5565668049739788
15,0.12549172010730933,0.7222061798501467,0.9914298722212264,0.618662980249967,0.52271649544826,0.9834474736838033,0.560682512652993,0.48496428907127215
16,0.12374152880620191,0.6745801908860038,0.9917945218600815,0.7276604212075214,0.6387101152225552,0.9842076528844216,0.6730813372778434,0.6001174537836429
17,0.11969973060855253,0.6738499180626633,0.9918013069269468,0.7083526456951601,0.5208084790123585,0.9841954107764813,0.6538037142849966,0.48537414841820203
18,0.11724407142177623,0.6823645291181976,0.991514771533527,0.7244014695389642,0.6021096611491055,0.9836582352789186,0.6672824313040706,0.5689578756016758
19,0.10613001110082004,0.7106960815896618,0.991730531771406,0.711063191969558,0.673385345929273,0.9840711299463999,0.6567603094297498,0.6346440754051786
20,0.11050628447596401,0.7252544510332226,0.9913249641871281,0.6787427504018982,0.632863383329744,0.983251909557864,0.6203096866344836,0.5933461448414974
21,0.10215789568535784,0.6967197872005073,0.9917760911605341,0.6936311273028739,0.582273181418201,0.9841375055072976,0.6275277190389983,0.545989019512396
22,0.10199254232852217,0.6952153482518976,0.9920108331193169,0.7075473036205899,0.6786506121455476,0.9846031056891242,0.656171556558592,0.6418997927019364
23,0.09998857735950041,0.7183071703337934,0.9916645348500862,0.6808244735844272,0.6562192777090342,0.9839296932700726,0.629674650944578,0.6219383782860272
24,0.09664514641312355,0.6731855089640768,0.9917795250741698,0.7190282493464264,0.5771370839717034,0.9841657370972119,0.6645494991999031,0.537585846485032
25,0.08661588848752771,0.7026332293745625,0.9917738742107968,0.6824165654375957,0.5632756565390524,0.9841365848513816,0.6329380959109626,0.5261305312337522
26,0.09119733417018212,0.712957498719268,0.991698712753735,0.6893725090426097,0.6409534029368011,0.9839822208281044,0.6352842633999836,0.6034513179340322
27,0.0854726627309692,0.7005533706851121,0.9918966023184412,0.7083477124528984,0.626017304555301,0.9843736496760691,0.6509765955278541,0.5902322604808674
28,0.0909185612624023,0.7123245368051228,0.9917253221539285,0.687103948229573,0.5593486705152333,0.9840314581239824,0.630252897800031,0.5242103724647263
29,0.0936060076689019,0.6943710088837545,0.9919498987335096,0.7382000061124211,0.5707257986898395,0.9845180438576843,0.682842303827967,0.5323493407501421
30,0.08101088733158328,0.6968947946217648,0.9920406834684687,0.7040122832450115,0.5891681642704566,0.9846530869710359,0.6520402151676294,0.5501944439579461
31,0.08097233468278206,0.7203475044133325,0.9916612205745505,0.6632706418517041,0.6191910703130385,0.9839323917738825,0.6100959879161095,0.5807206180502665
32,0.07654875318076522,0.695272773154275,0.9917768149924793,0.7191543319664653,0.6138172839459711,0.9841759796622845,0.6659218823026422,0.5763666428571671
33,0.07834308566973809,0.7103762677260747,0.991931488616861,0.6876647257066224,0.6673391720372072,0.9844531884296335,0.6399105083796396,0.6329155088635056
34,0.08577252241937235,0.6839904931071866,0.9916317891731536,0.7301426741276988,0.3951704725108853,0.983904892163311,0.6675678208011606,0.3558243478388693
35,0.07487115157957383,0.7521835091206654,0.9918016576938492,0.6854839790142033,0.6138829689296168,0.9841863508704755,0.63464918810979,0.5817722533414909
36,0.07468405663568706,0.7102184309653581,0.9918823272204228,0.6888649376259672,0.5250287117359043,0.984372771472382,0.6275508201935989,0.48586847431109165
37,0.07559901689463121,0.7020335017073338,0.9919074169165797,0.7028587169826805,0.6365480899205902,0.9844011574340381,0.6496038256918231,0.6008725818323455
38,0.07334061600865527,0.7263938918669373,0.9918362558316841,0.7012962299417719,0.6478050001409,0.9842698080934209,0.6498921310489546,0.616000137581415
39,0.07461781817324022,0.7336564198634381,0.9917135517374217,0.673087789768462,0.6033790966320627,0.984021048322856,0.6191540264974318,0.5724141782012117
40,0.07363487000173745,0.6884992698774536,0.9919562661390511,0.7088207447756304,0.5152584649080423,0.9845068073101181,0.6519973580938886,0.4742991406558336
41,0.075355248053603,0.7298332863060762,0.991943053633189,0.6945776847785493,0.5050088296494393,0.9844717657823356,0.6371022183976042,0.46534689266155105
42,0.06900704123159462,0.6927022084311095,0.9921579172285341,0.7424435870496313,0.5748191785383611,0.9849087484448934,0.6930921000624986,0.5382354351860371
43,0.06673188830481812,0.724910489965799,0.9919849025259773,0.6905916281760448,0.5742092040696731,0.984532139712958,0.6348861630153815,0.5398538579495296
44,0.06617906118698298,0.7061292440802963,0.9920568033088025,0.7470744459109294,0.6716310689276512,0.9847121303030055,0.698951693531171,0.6368631661833203
45,0.07247003176035409,0.7185545749457548,0.9917157052232207,0.7262951082929221,0.5792577094132586,0.9840452070716473,0.6722536082998283,0.5448250584758747
46,0.06654763989509108,0.7521468609867595,0.9914604725597573,0.6752015002367847,0.5802380438329453,0.9835254104017354,0.6187658863999261,0.5434369690222037
47,0.0633894298385012,0.7294291498538278,0.9918226359559478,0.7151433447395891,0.6480496676537453,0.9842499567450379,0.6604547079974419,0.6115184276075869
48,0.06424422583238963,0.7097249567885602,0.9919065404281342,0.7175456076256551,0.597414919147264,0.9844188848845392,0.6647417986844415,0.5597370103988488
49,0.06582858167230127,0.7413499525461309,0.9915870582457069,0.6641524478072288,0.6673428146497719,0.9837718858993311,0.6141342632464389,0.6303628684089355
50,0.06330905729396777,0.7721146504515016,0.9914237809695786,0.6599210168986072,0.6026517631336838,0.9834779453792161,0.6099171501225704,0.5685418541065658
51,0.05984710301745703,0.7041193054082056,0.9919060794569605,0.7321379543695117,0.6309281309017235,0.9844417593462004,0.6787869015804588,0.5940844924876821
52,0.06006213728199031,0.7059453161535978,0.991779404578449,0.6935427889152552,0.6393637827707055,0.9841735165753811,0.6392362310249661,0.6030463241666117
53,0.05866746005607161,0.7516233329850484,0.9913693160461865,0.6597169408404132,0.6243563722257756,0.983350212196652,0.6092666377066442,0.5917608338523555
54,0.06468460975204879,0.7398144033112393,0.9917312903369931,0.66598382572284,0.5879253157407965,0.9840552369467646,0.6114593623961362,0.5496447179902167
55,0.05867433826075518,0.7343250413466491,0.9916409545665165,0.6961233595932266,0.5824983120794809,0.9838976971537089,0.6388309663240627,0.5495154643055487
56,0.057216883466683605,0.7185517194686759,0.9919704125939514,0.7228805089853468,0.5778323178843835,0.9845482243908396,0.6659224004948665,0.5413593924571811
57,0.06347812199417283,0.711232598181124,0.992010484925277,0.7125475902454449,0.6381437371751411,0.9846270671851344,0.6653911352160413,0.6020460088109312
58,0.06042451781026501,0.7013947861412138,0.9919171689225615,0.7265148252229315,0.6680591776786302,0.984448574000983,0.6711564627062665,0.6346917410163541
59,0.057229351443562275,0.7155272061478047,0.9919376531950861,0.7043235159649585,0.6040400885737133,0.9844708682821809,0.6489387711605606,0.5682497511364719
60,0.05492764413755208,0.7129861561155793,0.9920200028007836,0.7202895116761002,0.6289740267690364,0.9846209038933404,0.6652755669872441,0.5964175385769657
61,0.05566879899146404,0.7093573921741185,0.9920108987273072,0.7297318262183055,0.595129591424484,0.984624010195835,0.6763154735922541,0.560518941986827
62,0.057590112030346766,0.7540532067323873,0.9917246291963316,0.6642637731119858,0.585798626880583,0.9840417551479751,0.6139566896172791,0.5527646544051733
63,0.05864551672164132,0.7550163055284668,0.991706015394746,0.6925919887458282,0.6561560679397382,0.9840460788431785,0.6386322166615639,0.6217382831317491
64,0.05438332400897289,0.7251106032188023,0.9917640021379045,0.6973524777673259,0.6219678754467387,0.9841388403940544,0.6435524927834791,0.5874115377608985
65,0.057665332468515414,0.7439127893413416,0.9916031832317654,0.6740656961921001,0.655553982233103,0.9837989048134509,0.621111503977879,0.6202352089480259
66,0.053952603404694065,0.7395021079786209,0.9917985706878223,0.6981201744489206,0.6269024663523601,0.9842070902851846,0.6431255814332623,0.5906419460885372
67,0.05227200416599047,0.7320310143920464,0.9917902238935018,0.6827058332011103,0.6143693764667814,0.9841800760879791,0.6266241204404607,0.5776453105137065
