epoch,train_loss,val_loss,val_dice_background,val_dice_liver,val_dice_tumor,val_iou_background,val_iou_liver,val_iou_tumor
1,0.45690467816623137,0.6533225439320627,0.9903488030536569,0.5334642684173178,0.39819131236034566,0.9811890798506977,0.42077739719883606,0.35829809764345133
2,0.27579183304373595,0.6426428789045753,0.9889079100794071,0.5804589429544678,0.5451627364594217,0.9784499196697483,0.47593841337887544,0.5122794684698723
3,0.2353621612895619,0.5812802629203762,0.9909253883704865,0.6591385729979288,0.49986808553625256,0.982352915856478,0.5672071948473153,0.464038291657502
4,0.2126866185091396,0.5666430498310975,0.9913082320055515,0.7338294618239548,0.5981592895254327,0.9832231852648069,0.6640224660022267,0.5705963366079071
5,0.20305573800030877,0.5538582375917547,0.9912344337367326,0.717674277332244,0.6389037970211203,0.9830551863574296,0.6478803124809213,0.6005178973795391
6,0.18086415618498694,0.7196364622990505,0.9882413706333517,0.4469151485291274,0.2278556391418554,0.9772320702779207,0.3343266946193632,0.1942945913517356
7,0.17705912475279945,0.5413927115506704,0.9915987163138904,0.7460322734628714,0.6001418874817522,0.9837791632405288,0.6791404346844413,0.564749618860624
8,0.16783112721009688,0.7685479820582278,0.9895459006158568,0.34591559125423577,0.3094864822353194,0.9797168751414731,0.26845589206157683,0.2718414013517978
9,0.16099428129706153,0.5745991603038068,0.9913325828613995,0.6775457070327616,0.5513918977250369,0.9832434881505349,0.6009187153454727,0.5162606619438643
10,0.15563639019899828,0.5324565462411366,0.9917749685349224,0.7398508319663869,0.6087626248751691,0.9841577200580844,0.6783379288947217,0.5681885256550832
11,0.14566327582068622,0.6005310117929178,0.9910149642889449,0.7165242186290942,0.6412322937188285,0.9825752424679214,0.6348839528274809,0.6182065766652125
12,0.1455096285610913,0.5413355450427737,0.9917612174432054,0.733655180660986,0.5678322342115444,0.9841159119022836,0.6763533376554491,0.5310119953969556
13,0.14727240456616814,0.5783331765176589,0.9912059011219216,0.6481945829745283,0.4722588647979452,0.9829931074766804,0.5654185868162945,0.4335641036773313
14,0.13851068689223917,0.5363738678442861,0.9918958596188387,0.7537478905657499,0.6655698403964851,0.9844040780616321,0.698867890322059,0.6302226472670307
15,0.13773593118484007,0.5517818579936523,0.9917540258640866,0.6913322926882188,0.45196514654673287,0.9840942758450405,0.6162674166183078,0.40837811988850276
16,0.1318309286061455,0.5278874732076099,0.9918720289099988,0.7502071005477198,0.6539521489268378,0.9843554046514223,0.6937454282595785,0.6159306841767879
17,0.1291454754411218,0.5338088313846192,0.9919081506111639,0.743737267125796,0.6490095877963433,0.9844029018347212,0.6887891354189105,0.6124560265297279
18,0.1293566290070029,0.5299046906998487,0.9917645214272918,0.7480287593623277,0.6622920265993386,0.9841608486587196,0.6884426651549025,0.6278506007440069
19,0.11564552873213661,0.5375738919804305,0.9917128716441367,0.7466967204310873,0.7108114487586328,0.984028706876494,0.6914327200714796,0.6743877176993679
20,0.12162113514813509,0.5256962733647795,0.9917674943697539,0.7426288422772355,0.622546273218499,0.984154857748704,0.6880829609470905,0.5833802229421619
21,0.11110545428678952,0.5293791056110069,0.9919883304362674,0.7515118329841883,0.6144377835512631,0.9845750503402819,0.6977586638599597,0.5773231227479139
22,0.11946660955959462,0.5352058532330617,0.991804852331285,0.7342086382991349,0.6927212517965181,0.98420730297514,0.679564048739273,0.6585026140991798
23,0.10650849253098595,0.5203238222764868,0.9919411844486813,0.744347295544337,0.6238266403506704,0.9844742554554836,0.6887459795354975,0.5853405152246114
24,0.10335214106156865,0.4940527027646162,0.9917870764252094,0.7358561301444113,0.6420539970587182,0.9841901852930193,0.6819369061413725,0.6018265561153363
