epoch,train_loss,val_loss,val_dice_background,val_dice_liver,val_dice_tumor,val_iou_background,val_iou_liver,val_iou_tumor
1,0.5088313561231694,0.6803066270676624,0.9908159542426789,0.6817579694978917,0.5428421170879664,0.9822715902500015,0.6099690195248845,0.5016873702674995
2,0.3029289541795929,1.0488616796689951,0.990238202132767,0.26303110292670306,0.29532894631516476,0.9810554458083008,0.1872688212896658,0.2556205090251288
3,0.2541477458043532,0.6755775693524713,0.9912621314577061,0.7182110711848052,0.5966698512601826,0.9831637907371247,0.6515281071022767,0.5607507352542379
4,0.21677233213409383,0.6814509261375951,0.9914541398878578,0.7305073374374279,0.5979450176028469,0.9835492556901286,0.6676046459938249,0.5609349841985499
5,0.2201563380618784,0.639413874969896,0.9915761866157861,0.7399685254348893,0.6790137799392728,0.9837682564481557,0.678694748058622,0.6414221612703164
6,0.18499168006573768,0.9835683465973148,0.9910108721513542,0.38459547816806106,0.25399873981544313,0.9826289676933837,0.29040776874600593,0.21522640108047658
7,0.17541834351850705,0.7226579917263317,0.9903796924103936,0.6578219891311382,0.5661321510626096,0.9814143519607379,0.5843834759994968,0.5303804161234319
8,0.15621361259151909,0.702317290782067,0.991251615311602,0.6601793847261161,0.5860509590257645,0.9831298422470367,0.5924302382081115,0.5473451326438865
9,0.14017812086936624,0.6933281032373588,0.9913923839013353,0.6726967418765959,0.5598001725930075,0.9833872189624704,0.6040973451073404,0.5182267467376004
10,0.12427450233602269,0.7285880986483332,0.991567854401019,0.7069215250296186,0.5646106552718794,0.983756119398762,0.643298065803006,0.5320876679789472
11,0.13995257788163457,0.698737853264744,0.9915679084311286,0.7036248662405036,0.6210147140895872,0.9837360407808702,0.6397678250369518,0.5829751628725586
12,0.11338604357551764,0.734714698016159,0.991347821067563,0.6127417838186289,0.5539194508434008,0.9832450901861671,0.5477480016714952,0.5124654575449626
13,0.11431674310230316,0.7001667122853804,0.9918566208949192,0.7069547483233694,0.5490883291500639,0.9843033457831513,0.6435304106646087,0.5118373772393375
14,0.10300058337615774,0.7000214946409982,0.9918517255954605,0.6966730155789366,0.5865451182922747,0.9842739010886322,0.6349198276336436,0.5466120433163391
