epoch,train_loss,val_loss,val_dice_background,val_dice_liver,val_dice_tumor,val_iou_background,val_iou_liver,val_iou_tumor
1,0.6263168022275608,0.6821056604385376,0.9907899949190427,0.6510721558834252,0.5441646531488942,0.982166278276512,0.571026842946195,0.5090842036356207
2,0.4203873630513482,1.035058101556704,0.9902579750088479,0.18328958067970277,0.29882919977664185,0.9810811358390095,0.11438855192842777,0.26261972642164205
3,0.3711730835829827,0.730609955557209,0.9884215730557339,0.60895353480027,0.5564044002365565,0.9775216948214195,0.5330873084325789,0.5282954331972244
4,0.32667103453594093,0.7910971032033229,0.9882578815487649,0.561078970503478,0.6530538865640539,0.9771713768835548,0.4898053739067046,0.6281685389275905
5,0.3018534528778836,0.7432133327654706,0.9901185331584739,0.616030759957916,0.6090386543238379,0.9807670802521191,0.5476362759254739,0.5821969328598626
6,0.27094959136158386,0.7246650603836252,0.9920073807668343,0.5786086750656583,0.45547094056751386,0.9843863793414274,0.48129127839289737,0.4186460076905412
7,0.26455523597206027,0.7243397583160297,0.9912238073863572,0.5891972162651117,0.63169955921865,0.98283327740731,0.5197927747824663,0.6018534387704698
8,0.23336220051356177,0.7421603258278527,0.9916274316019291,0.5622989029450536,0.41996857491633954,0.9836806436236814,0.45896289609736074,0.3803332244283272
9,0.2224904520148262,0.6835408550506255,0.9924409355191018,0.7118496100925833,0.6197294634567083,0.9853045121371318,0.6368725077155333,0.5933018886845446
10,0.216069851018847,0.6675280080578192,0.992120738938558,0.6893906331167936,0.6715125218587696,0.9846453092081083,0.6152376071329608,0.6419490369108287
