epoch,train_loss,val_loss,val_dice_background,val_dice_liver,val_dice_tumor,val_iou_background,val_iou_liver,val_iou_tumor
1,0.5087031308820541,1.088645919228634,0.9890648782682075,0.1452928076080411,0.3420375945601693,0.9787342239626877,0.08832681296139494,0.30421411739987647
2,0.3126155716690788,0.6647459216880282,0.9907514886032763,0.7117038846105146,0.6321406059827258,0.9821728390755413,0.6423423197868353,0.5978439743070298
3,0.26487570269541305,0.6673813327110449,0.9912178752233656,0.6987816585557024,0.6556151328521085,0.9830558004139138,0.6338251213691389,0.6165405501209313
4,0.24331059800112312,0.6860116820348311,0.9912798100238224,0.7020629487530667,0.5934796054315787,0.9831139402423831,0.63023198479595,0.5625050708836709
5,0.22396213093543435,0.6799166188545882,0.9917890343734687,0.6807405853303231,0.5232089615411616,0.984160795915041,0.5978190808911333,0.48803631396234565
6,0.20185271664497687,0.7474729117769967,0.9915953287117772,0.6235778916050294,0.391591000967918,0.9838155821072969,0.5357102458279175,0.35273545000311957
7,0.19359198670017527,0.7150556931327675,0.99172144999607,0.6886486684179216,0.5038394968058647,0.9840770196571624,0.610383171154615,0.47162824936959136
8,0.1829683498066058,0.6801616644794702,0.9917385814001234,0.7410214912131056,0.6536705469201661,0.9841020874839892,0.6819581855506719,0.6200686991950028
9,0.17395701202001163,0.7041295639221584,0.9912348436794692,0.6490147100638872,0.59419611179147,0.9830839741144249,0.5811509760000809,0.5553329850736406
10,0.1692186543847469,0.8512942727449895,0.9872866358688409,0.5279555390195337,0.5233814806261292,0.9753201085028889,0.4434825755268865,0.49894266717510827
11,0.15557439784633922,0.6877832573173062,0.991681782032946,0.7084111167166554,0.6833641878993608,0.9839597121417094,0.6438090912720318,0.6494877145204616
12,0.147404557362916,0.6773170669442808,0.9919563604773377,0.6877046587666413,0.6195354761166975,0.9844374978285042,0.6186904947555334,0.5814258966313322
13,0.14882511735998372,0.6906383822603923,0.9916361394546015,0.710871338708678,0.6922442592814579,0.9838711910968204,0.651669652664441,0.6567392011816408
14,0.13272205082809224,0.6495839888810465,0.99186757957335,0.7443464986327774,0.6789647456575076,0.9843506221290973,0.6901867534823557,0.6432238865590933
15,0.1310451825871506,0.6518859758286618,0.9920292089311339,0.7179488044572571,0.6195364431211574,0.9846356794130888,0.6566919827866843,0.5793507925718644
16,0.13235386854266737,0.6682905365242652,0.9919654336764658,0.7283442922579463,0.6767196038281935,0.9845191193141526,0.673302932916578,0.634371183419954
17,0.12252719364861116,0.651522023783359,0.9918894407560499,0.7497386812565491,0.643358443322857,0.9844025004681923,0.6983309534166651,0.604901695022022
18,0.11408781508471877,0.6863566772724555,0.9917946209152826,0.7306226531636284,0.6711920207642901,0.9842110409153452,0.6775432013330623,0.6341053094388419
19,0.12335657462238628,0.6935180080507721,0.991858683901725,0.71740843489199,0.6729766374098204,0.9843229042540351,0.6667358980823226,0.6351013217914742
20,0.10896564390570085,0.6795855513433131,0.9919375567127475,0.7387641702356597,0.6371909796960679,0.9845001577473372,0.6851835692677928,0.5981472742345344
21,0.10120575498132145,0.701870551492679,0.9917792219052212,0.7089571807569375,0.6264814204579923,0.9841689313058373,0.6524091537073045,0.5902506647896177
22,0.10341672462256835,0.6836963309397435,0.9919257515625988,0.7116064982047778,0.5324469705733931,0.9844498552864404,0.6479418251583864,0.4979839573709989
23,0.11190503141618667,0.6923354835045047,0.9918035920575369,0.725522267231279,0.6577146600125063,0.984219232480303,0.6749786199491922,0.619563923131314
24,0.09235400033586803,0.6632153370839148,0.9920117923681685,0.7338707436670068,0.7003850449866101,0.9846166826838212,0.6803421788936556,0.6611712481670298
25,0.089277099590888,0.6908631035629004,0.9919453306163816,0.7187763352043615,0.6818335841829485,0.9844792150765014,0.6651492171452579,0.644867653599792
26,0.08872159920274256,0.7072153427951919,0.991850084109272,0.7097848211030086,0.625965509938808,0.9842979599246018,0.6528422902623197,0.5896152105489761
27,0.09183244722730974,0.6861814307864981,0.9918181990548004,0.7247333320025016,0.6310595530322851,0.9842602824993271,0.6649215546837784,0.5970263127977655
28,0.08554553324207265,0.681660132571826,0.9919842717458875,0.7477606109022024,0.6599603111908728,0.9845794988193101,0.6947805503372134,0.6238232252988138
29,0.08447634430731682,0.6830065773754586,0.9919599929301859,0.7394986637338032,0.6326753328626269,0.9845343377950381,0.6861806648503012,0.5978586928421382
30,0.08407992441306777,0.6880071769992618,0.9919801178596003,0.7202967472349312,0.6656597187140583,0.9845601483214673,0.6633644238714019,0.6266336877717432
31,0.08411832479710248,0.6944774280503297,0.9918501467155896,0.6962287032315538,0.6307417914258783,0.9842978188459822,0.6375890609811841,0.5940506974209204
32,0.07853126023462749,0.6922992565875239,0.9917868890350671,0.6887020238698639,0.654294535902643,0.9841751932240218,0.6329716135856279,0.6164248022683252
33,0.07808980810690054,0.7196755521234997,0.991612466976797,0.6800592524203137,0.6568794277149443,0.9838186395254066,0.6198313349959373,0.618526261208848
34,0.08386501167069145,0.7126074659469005,0.9919095755481034,0.7128062923871159,0.6449078307521343,0.9844284722273299,0.6587960629644553,0.610534452813212
35,0.07232927377609645,0.7174216266031619,0.9919115489335368,0.7229331467041795,0.6695261119764464,0.9844175692942503,0.6687797577593498,0.6360812585857922
36,0.06542760503881756,0.7270608306361839,0.9918680023803985,0.7097468503931441,0.654542503581233,0.9843382878269223,0.6548919890979936,0.6209868113829353
37,0.06302785513832926,0.7224981757898856,0.991903027613386,0.7233724816480586,0.6651944716656842,0.9844134497127944,0.6691529477074823,0.630874559242204
38,0.06437101702400069,0.699493618407762,0.9920423794135773,0.7244371325609253,0.6419098334300194,0.9846903810398184,0.6702496548752769,0.603923477628764
39,0.06540745708912132,0.7157555401271383,0.9918782432302297,0.7067138611030049,0.6107454427015702,0.9843792769548704,0.6535486387607382,0.5742760589333152
40,0.06423914436709116,0.722382066587984,0.9918932181468113,0.7121460094240466,0.6612339195206844,0.9843942707391093,0.6598223641823446,0.627852918372077
41,0.06122779110297162,0.7489865303254925,0.9918557641317518,0.6963006518828425,0.6642485527379055,0.9843172889819248,0.6441445001000174,0.6308633697289951
42,0.06019753874902101,0.7148488591464662,0.9919036708289771,0.7154908507876323,0.6741043391834503,0.984399012524447,0.6613835472817818,0.6381756247660467
43,0.05956863855574539,0.7423740843447243,0.991744288437658,0.6802150302825141,0.649878578585864,0.9840875160779884,0.625364821214915,0.6157125129624363
44,0.06021349754802046,0.7423890614251134,0.9918366074562073,0.681022322152086,0.6049786765458794,0.9842643116017897,0.6229322139125955,0.569532630059463
45,0.06001657076817464,0.6982270008610947,0.9918958977829638,0.7160834592834308,0.6306725809863781,0.9843948281926217,0.6607695822830587,0.5965128184854589
